J1
{	-1	,	0.153224881	,	1.157041353	},
{	-0.95	,	0.150561683	,	1.130948759	},
{	-0.9	,	0.147723187	,	1.104181938	},
{	-0.85	,	0.144810525	,	1.077212848	},
{	-0.8	,	0.141810214	,	1.050176336	},
{	-0.75	,	0.138728995	,	1.022937556	},
{	-0.7	,	0.135593839	,	0.995901044	},
{	-0.65	,	0.132438455	,	0.968459996	},
{	-0.6	,	0.129222391	,	0.941423484	},
{	-0.55	,	0.126060266	,	0.914656663	},
{	-0.5	,	0.122925109	,	0.887957264	},
{	-0.45	,	0.119816921	,	0.861797248	},
{	-0.4	,	0.116782899	,	0.836041768	},
{	-0.35	,	0.113829784	,	0.810960514	},
{	-0.3	,	0.110998029	,	0.786283798	},
{	-0.25	,	0.108287636	,	0.762348731	},
{	-0.2	,	0.105739057	,	0.73929016	},
{	-0.15	,	0.103325323	,	0.716973238	},
{	-0.1	,	0.101127343	,	0.695735081	},
{	-0.05	,	0.099124888	,	0.67517115	},
{	0	,	0.097500000	,	0.658012067	},
{	0.05	,	0.095875112	,	0.640839499	},
{	0.1	,	0.093872657	,	0.620322765	},
{	0.15	,	0.091667934	,	0.59906438	},
{	0.2	,	0.089260943	,	0.576747459	},
{	0.25	,	0.086712364	,	0.553668661	},
{	0.3	,	0.084001971	,	0.529753821	},
{	0.35	,	0.081170216	,	0.505097331	},
{	0.4	,	0.078217101	,	0.480002593	},
{	0.45	,	0.075183079	,	0.454226886	},
{	0.5	,	0.072068149	,	0.428060127	},
{	0.55	,	0.068939734	,	0.401360729	},
{	0.6	,	0.065774238	,	0.374587165	},
{	0.65	,	0.062562893	,	0.347591107	},
{	0.7	,	0.059404139	,	0.320143317	},
{	0.75	,	0.056268982	,	0.293100062	},
{	0.8	,	0.053187089	,	0.265834313	},
{	0.85	,	0.050186104	,	0.23882477	},
{	0.9	,	0.047278162	,	0.211828712	},
{	0.95	,	0.044436968	,	0.185068633	},
{	1	,	0.041773097	,	0.158962554	}

J2
{	-1	,	0.153224881	,	1.157041353	},
{	-0.95	,	0.150561683	,	1.130948759	},
{	-0.9	,	0.147723187	,	1.104181938	},
{	-0.85	,	0.144810525	,	1.077212848	},
{	-0.8	,	0.141810214	,	1.050176336	},
{	-0.75	,	0.138728995	,	1.022937556	},
{	-0.7	,	0.135593839	,	0.995901044	},
{	-0.65	,	0.132438455	,	0.968459996	},
{	-0.6	,	0.129222391	,	0.941423484	},
{	-0.55	,	0.126060266	,	0.914656663	},
{	-0.5	,	0.122925109	,	0.887957264	},
{	-0.45	,	0.119816921	,	0.861797248	},
{	-0.4	,	0.116782899	,	0.836041768	},
{	-0.35	,	0.113829784	,	0.810960514	},
{	-0.3	,	0.110998029	,	0.786283798	},
{	-0.25	,	0.108287636	,	0.762348731	},
{	-0.2	,	0.105739057	,	0.73929016	},
{	-0.15	,	0.103325323	,	0.716973238	},
{	-0.1	,	0.101127343	,	0.695735081	},
{	-0.05	,	0.099124888	,	0.67517115	},
{	0	,	0.097500000	,	0.658012067	},
{	0.05	,	0.095875112	,	0.640839499	},
{	0.1	,	0.093872657	,	0.620322765	},
{	0.15	,	0.091667934	,	0.59906438	},
{	0.2	,	0.089260943	,	0.576747459	},
{	0.25	,	0.086712364	,	0.553668661	},
{	0.3	,	0.084001971	,	0.529753821	},
{	0.35	,	0.081170216	,	0.505097331	},
{	0.4	,	0.078217101	,	0.480002593	},
{	0.45	,	0.075183079	,	0.454226886	},
{	0.5	,	0.072068149	,	0.428060127	},
{	0.55	,	0.068939734	,	0.401360729	},
{	0.6	,	0.065774238	,	0.374587165	},
{	0.65	,	0.062562893	,	0.347591107	},
{	0.7	,	0.059404139	,	0.320143317	},
{	0.75	,	0.056268982	,	0.293100062	},
{	0.8	,	0.053187089	,	0.265834313	},
{	0.85	,	0.050186104	,	0.23882477	},
{	0.9	,	0.047278162	,	0.211828712	},
{	0.95	,	0.044436968	,	0.185068633	},
{	1	,	0.041773097	,	0.158962554	},

J3
{	-0.5	,	0.02	,	0.71	},
{	-0.45	,	0.02	,	0.67	},
{	-0.4	,	0.02	,	0.62	},
{	-0.35	,	0.02	,	0.58	},
{	-0.3	,	0.02	,	0.55	},
{	-0.25	,	0.03	,	0.51	},
{	-0.2	,	0.03	,	0.48	},
{	-0.15	,	0.03	,	0.45	},
{	-0.1	,	0.03	,	0.42	},
{	-0.05	,	0.03	,	0.39	},
{	0	,	0.03	,	0.37	},
{	0.05	,	0.03	,	0.34	},
{	0.1	,	0.03	,	0.32	},
{	0.15	,	0.03	,	0.3	},
{	0.2	,	0.03	,	0.27	},
{	0.25	,	0.03	,	0.25	},
{	0.3	,	0.02	,	0.23	},
{	0.35	,	0.02	,	0.2	},
{	0.4	,	0.02	,	0.17	},
{	0.45	,	0.02	,	0.15	},
{	0.5	,	0.02	,	0.12	},
{	0.55	,	0.02	,	0.08	},
{	0.6	,	0.01	,	0.05	},
{	0.65	,	0.01	,	0.01	},
{	0.7	,	0.01	,	-0.02	},
{	0.75	,	0.01	,	-0.07	},
{	0.8	,	0	,	-0.11	},
{	0.85	,	0	,	-0.16	},
{	0.9	,	0	,	-0.22	},
{	0.95	,	-0.01	,	-0.28	},
{	1	,	-0.01	,	-0.34	}
